company,model,drivetrain,class,seat,price_raw,range_raw,efficiency,weight,zero_to_sixty,one_stop_range,battery,rapidcharge,towing,boot_space,price_range
Polestar,3 Long Range Performance(MY23-25),All Wheel Drive,E,5,"£81,500",295 mi,363 Wh/mi,"2,654 kg",4.7 sec,321 mi,107.0 kWh,150 kW,"2,200 kg",516 L,£276 /mi
Audi,Q4 e-tron 55 quattro,All Wheel Drive,C,5,"£57,690",245 mi,314 Wh/mi,"2,235 kg",5.4 sec,272 mi,77.0 kWh,120 kW,"1,200 kg",520 L,£235 /mi
Volkswagen,ID.7 Tourer Pro S(MY24-25),Rear Wheel Drive,E,5,"£56,140",320 mi,269 Wh/mi,"2,235 kg",6.7 sec,366 mi,86.0 kWh,145 kW,"1,000 kg",605 L,£175 /mi
Volkswagen,ID.7 Tourer GTX(MY24-25),All Wheel Drive,E,5,"£62,670",310 mi,277 Wh/mi,"2,339 kg",5.5 sec,354 mi,86.0 kWh,145 kW,"1,200 kg",605 L,£202 /mi
Vauxhall,Combo Life Electric XL 50 kWh,Front Wheel Drive,N,7,"£31,590",145 mi,345 Wh/mi,"1,881 kg",11.3 sec,150 mi,50.0 kWh,80 kW,750 kg,"1,050 L",£218 /mi
Nissan,LEAF e+ 62 kWh(MY23-25),Front Wheel Drive,C,5,"£34,945",210 mi,281 Wh/mi,"1,756 kg",6.9 sec,181 mi,59.0 kWh,44 kW,0 kg,420 L,£166 /mi
Peugeot,e-3008 73 kWh Dual Motor,All Wheel Drive,C,5,"£56,290",225 mi,324 Wh/mi,"2,337 kg",6.0 sec,241 mi,73.0 kWh,90 kW,"1,350 kg",588 L,£250 /mi
Vauxhall,Combo Life Electric 50 kWh,Front Wheel Drive,N,5,"£30,690",145 mi,345 Wh/mi,"1,811 kg",11.3 sec,153 mi,50.0 kWh,80 kW,750 kg,775 L,£212 /mi
Audi,A6 Sportback e-tron quattro,All Wheel Drive,E,5,"£75,040",355 mi,267 Wh/mi,"2,360 kg",4.7 sec,431 mi,94.9 kWh,200 kW,"2,100 kg",529 L,£211 /mi
Volkswagen,ID.7 GTX(MY26),All Wheel Drive,E,5,"£59,110",310 mi,277 Wh/mi,"2,325 kg",5.5 sec,355 mi,86.0 kWh,145 kW,"1,800 kg",532 L,£191 /mi
BMW,i3,Rear Wheel Drive,B,4,"£29,570",100 mi,272 Wh/mi,"1,320 kg",7.3 sec,106 mi,27.2 kWh,46 kW,0 kg,260 L,£296 /mi
Porsche,Macan 4S Electric(MY25),All Wheel Drive,D,5,"£76,900",290 mi,328 Wh/mi,"2,420 kg",4.1 sec,350 mi,95.0 kWh,200 kW,"2,000 kg",624 L,£265 /mi
Mazda,6e 68.8 kWh,Rear Wheel Drive,D,5,"£38,000 *",240 mi,275 Wh/mi,"2,037 kg",7.6 sec,281 mi,66.0 kWh,120 kW,"1,500 kg",526 L,£158 /mi
Renault,4 E-Tech 40kWh 120hp,Front Wheel Drive,B,5,"£22,500 *",150 mi,267 Wh/mi,"1,485 kg",9.2 sec,157 mi,40.0 kWh,55 kW,750 kg,420 L,£150 /mi
DS Automobiles,N°4 E-Tense,Front Wheel Drive,C,5,"£35,495",230 mi,253 Wh/mi,"1,867 kg",7.1 sec,241 mi,58.3 kWh,70 kW,0 kg,390 L,£154 /mi
Volkswagen,ID.7 Tourer GTX(MY26),All Wheel Drive,E,5,"£59,900",310 mi,277 Wh/mi,"2,336 kg",5.5 sec,352 mi,86.0 kWh,145 kW,"1,800 kg",605 L,£193 /mi
Tesla,Model X P100D,All Wheel Drive,F,7,"£134,150",260 mi,365 Wh/mi,"2,572 kg",3.1 sec,257 mi,95.0 kWh,100 kW,"2,250 kg",unknown,£516 /mi
Vauxhall,Combo-e Life 50 kWh,Front Wheel Drive,N,7,"£34,085",130 mi,356 Wh/mi,"1,739 kg",11.7 sec,137 mi,46.3 kWh,78 kW,750 kg,571 L,£262 /mi
Fisker,Ocean Extreme,All Wheel Drive,D,5,"£57,900",305 mi,349 Wh/mi,"2,526 kg",3.9 sec,328 mi,106.5 kWh,135 kW,"1,820 kg",476 L,£190 /mi
BMW,i4 eDrive35,Rear Wheel Drive,D,5,"£49,995",265 mi,253 Wh/mi,"2,065 kg",6.0 sec,303 mi,67.0 kWh,95 kW,"1,600 kg",470 L,£189 /mi
Volvo,C40 Recharge Single Motor(MY24),Rear Wheel Drive,C,5,"£48,355",220 mi,300 Wh/mi,"2,065 kg",7.3 sec,229 mi,66.0 kWh,85 kW,"1,500 kg",450 L,£220 /mi
Peugeot,e-208 50 kWh(MY24),Front Wheel Drive,B,5,"£32,650",180 mi,257 Wh/mi,"1,530 kg",9.0 sec,199 mi,46.3 kWh,78 kW,0 kg,309 L,£181 /mi
Škoda,Enyaq 50(MY24),Rear Wheel Drive,C,5,"£36,970",190 mi,274 Wh/mi,"1,976 kg",9.1 sec,218 mi,52.0 kWh,90 kW,"1,000 kg",585 L,£195 /mi
Ford,Mustang Mach-E Premium RWD(MY24),Rear Wheel Drive,D,5,"£52,390",300 mi,303 Wh/mi,"2,161 kg",5.9 sec,304 mi,91.0 kWh,115 kW,"1,500 kg",619 L,£175 /mi
Polestar,2 Standard Range Single Motor(MY26),Rear Wheel Drive,D,5,"£45,160",250 mi,268 Wh/mi,"2,020 kg",6.4 sec,286 mi,67.0 kWh,110 kW,"1,500 kg",448 L,£181 /mi
Ford,e-Tourneo Courier,Front Wheel Drive,N,5,"£29,940",120 mi,363 Wh/mi,"1,724 kg",11.0 sec,134 mi,43.6 kWh,80 kW,750 kg,unknown,£250 /mi
Nissan,Micra Standard Range 40 kWh,Front Wheel Drive,B,5,"£21,495",160 mi,250 Wh/mi,"1,452 kg",9.0 sec,167 mi,40.0 kWh,55 kW,500 kg,326 L,£134 /mi
Peugeot,iOn,Rear Wheel Drive,A,4,"£21,216",55 mi,264 Wh/mi,"1,140 kg",15.9 sec,63 mi,14.5 kWh,30 kW,0 kg,166 L,£386 /mi
Audi,e-tron GT RS,All Wheel Drive,F,4,"£119,000",250 mi,340 Wh/mi,"2,420 kg",3.3 sec,318 mi,85.0 kWh,216 kW,0 kg,451 L,£476 /mi
Peugeot,e-2008 50 kWh,Front Wheel Drive,B,5,"£32,300",165 mi,281 Wh/mi,"1,623 kg",9.9 sec,183 mi,46.3 kWh,78 kW,0 kg,434 L,£196 /mi
Mercedes-Benz,EQA 300 4MATIC,All Wheel Drive,C,5,"£53,010",215 mi,309 Wh/mi,"2,110 kg",7.7 sec,223 mi,66.5 kWh,100 kW,"1,800 kg",340 L,£247 /mi
Porsche,Taycan,Rear Wheel Drive,F,5,"£86,500",310 mi,265 Wh/mi,"2,165 kg",4.8 sec,386 mi,82.3 kWh,195 kW,0 kg,491 L,£279 /mi
Peugeot,e-Rifter Long 50 kWh,Front Wheel Drive,N,7,"£31,750",140 mi,357 Wh/mi,"1,901 kg",11.7 sec,149 mi,50.0 kWh,80 kW,750 kg,"1,050 L",£227 /mi
Smart,#5 Pro+(MY25),Rear Wheel Drive,D,5,"£43,800",285 mi,330 Wh/mi,"2,335 kg",6.5 sec,360 mi,94.0 kWh,230 kW,"1,600 kg",702 L,£154 /mi
Tesla,Model X 90D,All Wheel Drive,F,7,£0,245 mi,349 Wh/mi,"2,464 kg",5.0 sec,240 mi,85.5 kWh,90 kW,unknown,unknown,- /mi
Audi,e-tron Sportback 55 quattro,All Wheel Drive,E,5,"£74,635",235 mi,368 Wh/mi,"2,565 kg",5.7 sec,248 mi,86.5 kWh,146 kW,"1,800 kg",615 L,£318 /mi
Volvo,XC40 Recharge Twin Pure Electric(MY22),All Wheel Drive,C,5,"£49,950",205 mi,366 Wh/mi,"2,188 kg",4.9 sec,216 mi,75.0 kWh,108 kW,"1,800 kg",450 L,£244 /mi
Volvo,XC40 Recharge Single Motor(MY24),Rear Wheel Drive,C,5,"£46,505",210 mi,314 Wh/mi,"2,040 kg",7.3 sec,219 mi,66.0 kWh,85 kW,"1,500 kg",441 L,£221 /mi
Mercedes-Benz,EQB 300 4MATIC,All Wheel Drive,C,7,"£55,310",215 mi,309 Wh/mi,"2,165 kg",8.0 sec,222 mi,66.5 kWh,100 kW,"1,700 kg",495 L,£257 /mi
Audi,S6 Avant e-tron,All Wheel Drive,E,5,"£99,340",330 mi,288 Wh/mi,"2,410 kg",3.9 sec,396 mi,94.9 kWh,200 kW,"2,100 kg",529 L,£301 /mi
Audi,Q6 Sportback e-tron,Rear Wheel Drive,D,5,"£62,475",255 mi,297 Wh/mi,"2,200 kg",7.0 sec,301 mi,75.8 kWh,150 kW,"2,000 kg",575 L,£245 /mi
Volkswagen,e-Up!,Front Wheel Drive,A,4,"£22,055",125 mi,258 Wh/mi,"1,235 kg",11.9 sec,117 mi,32.3 kWh,30 kW,0 kg,250 L,£176 /mi
Audi,Q8 SUV e-tron 55 quattro,All Wheel Drive,E,5,"£80,715",315 mi,337 Wh/mi,"2,585 kg",5.6 sec,320 mi,106.0 kWh,144 kW,"1,800 kg",631 L,£256 /mi
Renault,Scenic E-Tech 170hp Comfort Range,Front Wheel Drive,C,5,"£37,495",210 mi,286 Wh/mi,"1,822 kg",8.6 sec,220 mi,60.0 kWh,75 kW,"1,100 kg",545 L,£179 /mi
Audi,Q6 Sportback e-tron performance,Rear Wheel Drive,D,5,"£65,975",315 mi,301 Wh/mi,"2,275 kg",6.6 sec,371 mi,94.9 kWh,190 kW,"2,000 kg",575 L,£209 /mi
Škoda,Enyaq 60(MY25),Rear Wheel Drive,C,5,"£37,510",220 mi,268 Wh/mi,"2,002 kg",8.1 sec,258 mi,59.0 kWh,110 kW,"1,000 kg",585 L,£171 /mi
Volkswagen,ID.3 Pro S,Rear Wheel Drive,C,4,"£47,470",280 mi,275 Wh/mi,"1,935 kg",7.9 sec,303 mi,77.0 kWh,115 kW,0 kg,385 L,£170 /mi
Polestar,2 Standard Range Single Motor(MY23),Front Wheel Drive,D,5,"£43,150",235 mi,285 Wh/mi,"2,013 kg",7.4 sec,258 mi,67.0 kWh,116 kW,"1,500 kg",440 L,£184 /mi
Mercedes-Benz,EQA 350 4MATIC,All Wheel Drive,C,5,"£54,510",215 mi,309 Wh/mi,"2,110 kg",6.0 sec,223 mi,66.5 kWh,100 kW,"1,800 kg",340 L,£254 /mi
Volvo,EX40 Twin Motor(MY25),All Wheel Drive,C,5,"£57,805",235 mi,336 Wh/mi,"2,170 kg",4.8 sec,260 mi,79.0 kWh,125 kW,"1,800 kg",441 L,£246 /mi
Smart,#1 Pure,Rear Wheel Drive,B,5,"£29,960",155 mi,303 Wh/mi,"1,855 kg",6.7 sec,174 mi,47.0 kWh,65 kW,0 kg,338 L,£193 /mi
Toyota,bZ4X FWD 57.7 kWh(MY25),Front Wheel Drive,C,5,"£39,995",190 mi,284 Wh/mi,"1,945 kg",8.6 sec,213 mi,54.0 kWh,85 kW,750 kg,452 L,£211 /mi
Škoda,Enyaq vRS(MY24),All Wheel Drive,C,5,"£53,120",270 mi,285 Wh/mi,"2,251 kg",5.5 sec,298 mi,77.0 kWh,120 kW,"1,200 kg",585 L,£197 /mi
Citroën,ë-C4 X 54 kWh,Front Wheel Drive,C,5,"£30,005",205 mi,248 Wh/mi,"1,652 kg",9.1 sec,222 mi,50.8 kWh,78 kW,0 kg,510 L,£146 /mi
Volvo,XC40 Recharge Pure Electric(MY23),Front Wheel Drive,C,5,"£45,750",205 mi,327 Wh/mi,"2,023 kg",7.4 sec,221 mi,67.0 kWh,116 kW,"1,500 kg",450 L,£223 /mi
Audi,Q4 e-tron 45 quattro,All Wheel Drive,C,5,"£52,740",245 mi,314 Wh/mi,"2,235 kg",6.6 sec,272 mi,77.0 kWh,120 kW,"1,200 kg",520 L,£215 /mi
Alfa Romeo,Junior Elettrica 54 kWh Veloce,Front Wheel Drive,B,5,"£42,295",190 mi,267 Wh/mi,"1,635 kg",6.0 sec,203 mi,50.8 kWh,85 kW,0 kg,400 L,£223 /mi
Polestar,2 Standard Range Single Motor(MY25),Rear Wheel Drive,D,5,"£44,950",250 mi,268 Wh/mi,"2,020 kg",6.4 sec,286 mi,67.0 kWh,110 kW,"1,500 kg",448 L,£180 /mi
Smart,#5 Summit Edition(MY25),All Wheel Drive,D,5,"£48,800",280 mi,336 Wh/mi,"2,445 kg",4.9 sec,349 mi,94.0 kWh,230 kW,"1,600 kg",677 L,£174 /mi
Volkswagen,ID.4 Pure(MY26),Rear Wheel Drive,C,5,"£35,495",175 mi,297 Wh/mi,"1,975 kg",9.0 sec,198 mi,52.0 kWh,87 kW,"1,000 kg",543 L,£203 /mi
Peugeot,e-Rifter Standard 50 kWh,Front Wheel Drive,N,5,"£30,850",145 mi,345 Wh/mi,"1,830 kg",11.7 sec,153 mi,50.0 kWh,80 kW,750 kg,775 L,£213 /mi
Lexus,RZ 300e(MY23-25),Front Wheel Drive,D,5,"£49,995",220 mi,291 Wh/mi,"2,030 kg",8.0 sec,243 mi,64.0 kWh,100 kW,750 kg,522 L,£227 /mi
Volvo,EX40 Twin Motor(MY26),All Wheel Drive,C,5,"£57,660",235 mi,336 Wh/mi,"2,170 kg",4.8 sec,260 mi,79.0 kWh,125 kW,"1,800 kg",441 L,£245 /mi
Tesla,Model X 75D,All Wheel Drive,F,7,"£79,400",205 mi,354 Wh/mi,"2,427 kg",5.2 sec,209 mi,72.5 kWh,80 kW,"2,250 kg",unknown,£387 /mi
Smart,EQ forfour,Rear Wheel Drive,A,4,"£22,295",55 mi,304 Wh/mi,"1,200 kg",12.7 sec,41 mi,16.7 kWh,0 kW,0 kg,185 L,£405 /mi
Mercedes-Benz,EQS 450+,Rear Wheel Drive,F,5,"£105,610",395 mi,274 Wh/mi,"2,515 kg",6.1 sec,436 mi,108.4 kWh,173 kW,750 kg,620 L,£267 /mi
Porsche,Taycan 4 Cross Turismo,All Wheel Drive,F,5,"£96,800",315 mi,308 Wh/mi,"2,355 kg",4.7 sec,407 mi,97.0 kWh,262 kW,0 kg,530 L,£307 /mi
Mercedes-Benz,EQV 300 Long,Front Wheel Drive,N,7,"£92,255",200 mi,450 Wh/mi,"2,625 kg",12.1 sec,185 mi,90.0 kWh,96 kW,0 kg,"1,030 L",£461 /mi
Ford,Mustang Mach-E Premium RWD(MY25),Rear Wheel Drive,D,5,"£59,390",295 mi,298 Wh/mi,"2,161 kg",6.1 sec,300 mi,88.0 kWh,105 kW,"1,500 kg",619 L,£201 /mi
Lotus,Eletre 600,All Wheel Drive,F,5,"£84,990",305 mi,357 Wh/mi,"2,565 kg",4.5 sec,375 mi,109.0 kWh,259 kW,"2,250 kg",657 L,£279 /mi
Peugeot,e-308 55 kWh(MY26),Front Wheel Drive,C,5,"£29,495",210 mi,264 Wh/mi,"1,749 kg",9.3 sec,218 mi,55.4 kWh,65 kW,0 kg,361 L,£140 /mi
Fiat,500e Cabrio,Front Wheel Drive,B,4,"£30,995",140 mi,266 Wh/mi,"1,405 kg",9.0 sec,156 mi,37.3 kWh,67 kW,0 kg,185 L,£221 /mi
Tesla,Model X Long Range Plus,All Wheel Drive,F,7,"£87,980",300 mi,327 Wh/mi,"2,505 kg",4.6 sec,329 mi,98.0 kWh,125 kW,"2,250 kg",unknown,£293 /mi
Vauxhall,Vivaro-e Life M 50 kWh,Front Wheel Drive,N,9,"£42,735",115 mi,403 Wh/mi,"1,969 kg",12.1 sec,123 mi,46.3 kWh,78 kW,"1,000 kg",unknown,£372 /mi
Smart,#3 Pro,Rear Wheel Drive,B,5,"£33,960",165 mi,285 Wh/mi,"1,855 kg",5.9 sec,185 mi,47.0 kWh,65 kW,0 kg,385 L,£206 /mi
